opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,clost_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start,ForeCastCategory,FirmSize,uses_count,lead_sales
981948,7,won,0,0,0,0,0,0,0,0,2016-05-12 00:00:00.0,2016-05-26 16:09:10.94,2016-05-12 00:00:00.0,2016-05-28 00:00:00.0,2160.0000,2rw Consultants Upsell,0,0,0,false,2,0,-15,Commit,0,1,Veeravalli
977958,7,won,0,0,0,0,0,0,0,0,2016-05-18 16:20:59.4,2016-05-18 16:20:59.4,,2016-03-21 00:00:00.0,2500.0000,"Herrero Builders, Inc. Cosential/Vista by Viewpoint Financial Data Connector",0,0,0,false,-58,0,0,Commit,0,3,Rademacher
972101,7,won,0,0,0,0,22,0,0,0,2016-05-03 10:05:09.28,2016-05-03 10:05:09.28,2016-05-12 00:00:00.0,2016-05-28 00:00:00.0,785.0000,Johnson Carlier Upsell,0,0,0,false,25,0,8,Best Case,0,1,Veeravalli
971734,11,lost,0,0,0,0,0,0,0,6,2016-05-02 13:08:32.153,2016-05-02 13:08:32.153,2016-05-06 00:00:00.0,2016-05-09 11:32:33.987,0.0000,Palace Construction,0,0,0,false,7,0,0,none,0,0,
969817,7,won,0,0,0,0,0,0,0,0,2016-04-13 00:00:00.0,2016-04-27 12:05:36.633,2016-04-13 00:00:00.0,2016-05-28 00:00:00.0,2280.0000,Brinkmann Constructors Upsell,0,0,0,false,31,0,-21,Commit,0,1,Veeravalli
967155,7,won,0,4,0,0,0,0,0,0,2016-04-21 09:00:31.073,2016-04-21 09:00:31.073,2016-04-22 00:00:00.0,2016-05-11 00:00:00.0,7700.0000,Wieland-Davco Corporation,0,0,0,false,20,0,7,Commit,0,3,Reyna
966663,7,won,0,0,0,0,0,0,0,0,2016-04-19 00:00:00.0,2016-04-20 09:55:09.06,2016-04-19 00:00:00.0,2016-04-21 00:00:00.0,5760.0000,KFW Engineers & Surveying,0,0,0,false,1,0,-19,Commit,0,3,Hughes
961445,7,won,0,0,0,0,0,0,0,0,2016-04-11 09:43:08.31,2016-04-11 09:43:08.31,2016-05-25 00:00:00.0,2016-05-28 00:00:00.0,1440.0000,Sellen Construction Upsell,0,0,0,false,47,0,30,Commit,0,1,Veeravalli
961433,11,lost,0,0,0,0,0,0,0,44,2016-04-11 09:27:04.317,2016-04-11 09:27:04.317,,2016-05-31 00:00:00.0,1440.0000,RMW Architecture Upsell,0,0,0,false,50,0,0,none,0,0,Veeravalli
961428,11,lost,0,0,0,0,0,0,0,44,2016-04-11 09:18:43.49,2016-04-11 09:18:43.49,,2016-05-31 00:00:00.0,2160.0000,MAPP Construction Upsell,0,0,0,false,50,0,0,none,0,0,Veeravalli
961199,7,won,0,0,0,0,0,0,0,0,2016-04-08 15:01:08.707,2016-04-08 15:01:08.707,2016-04-11 00:00:00.0,2016-04-29 00:00:00.0,6260.0000,Harkins Ready Mix,0,0,0,false,21,0,5,Commit,0,3,Reyna
961030,11,lost,0,0,0,18,0,0,0,15,2016-04-08 11:27:04.06,2016-04-08 11:27:04.06,2016-04-13 00:00:00.0,2016-05-31 00:00:00.0,5000.0000,Top Gard LLC,3,0,0,false,53,0,5,Pipeline,0,2,Hughes
959158,7,won,0,0,0,0,0,0,0,0,2016-04-04 16:39:01.513,2016-04-04 16:39:01.513,2016-05-05 00:00:00.0,2016-05-28 00:00:00.0,2160.0000,FCI Constructors Upsell,0,0,0,false,54,0,29,Commit,0,1,Veeravalli
959154,11,lost,0,0,0,0,0,0,0,50,2016-04-04 16:36:46.09,2016-04-04 16:36:46.09,,2016-05-31 00:00:00.0,540.0000,Corval Group Upsell,0,0,0,false,57,0,0,none,0,0,Veeravalli
958479,7,won,0,0,6,0,0,0,0,0,2016-04-01 00:00:00.0,2016-04-01 13:39:16.823,2016-04-01 00:00:00.0,2016-04-08 00:00:00.0,3800.0000,Palmisano Contractors,0,0,0,false,7,0,6,none,0,3,Reyna
957893,11,lost,0,0,0,0,0,0,0,0,2016-03-31 00:00:00.0,2016-03-31 10:27:33.547,2016-03-31 00:00:00.0,2016-07-31 00:00:00.0,30000.0000,Baker Roofing Company,0,0,0,false,122,0,4,none,0,3,Reyna
957294,9,lost,0,0,0,0,0,0,10,0,2016-03-30 00:00:00.0,2016-03-30 09:59:01.333,2016-03-30 00:00:00.0,2016-05-31 00:00:00.0,26200.0000,BRACE Industrial Group,0,0,0,false,62,0,7,none,0,3,Reyna
956847,7,won,0,0,0,24,11,0,0,0,2016-03-29 10:46:48.33,2016-03-29 10:46:48.33,2016-04-12 00:00:00.0,2016-05-04 00:00:00.0,7320.0000,Caddell Construction - Via Raymond Braswell,0,0,0,false,36,0,15,Commit,101-300,3,Hughes
955761,7,won,0,0,0,0,0,0,0,0,2016-03-25 11:26:04.61,2016-03-25 11:26:04.61,,2016-03-31 00:00:00.0,7560.0000,Streib Company - Viewpoint Led,0,0,0,false,6,0,0,none,0,3,Hughes
955274,7,won,0,0,4,0,67,0,0,0,2016-03-24 00:00:00.0,2016-03-24 10:52:36.227,2016-03-24 00:00:00.0,2016-06-03 00:00:00.0,8385.0000,Herzog Contracting Corp.,8,0,0,false,71,0,6,Commit,0,3,Hughes
955267,7,won,0,0,0,0,0,0,0,0,2016-03-24 10:43:07.1,2016-03-24 10:43:07.1,2016-03-31 00:00:00.0,2016-03-25 00:00:00.0,1520.0000,Tesco Solutions,0,0,0,false,1,0,0,none,0,2,Reyna
938715,7,won,0,0,0,0,0,0,0,0,2016-03-23 12:52:50.903,2016-03-23 12:52:50.903,,2016-03-29 00:00:00.0,540.0000,Austin Commerical Upsell,1,0,0,false,6,0,0,none,0,0,Veeravalli
937299,7,won,0,0,0,0,20,0,0,0,2016-03-22 16:17:30.357,2016-03-22 16:17:30.357,2016-03-29 00:00:00.0,2016-04-18 00:00:00.0,2840.0000,Illinois Constructors Corporation,0,0,0,false,27,0,27,Commit,0,2,Hughes
937038,11,lost,0,0,0,0,0,0,0,63,2016-03-22 11:14:47.757,2016-03-22 11:14:47.757,2016-03-30 00:00:00.0,2016-05-31 00:00:00.0,4500.0000,Precision Plumbing,0,0,0,false,70,0,2,none,0,2,Reyna
936865,9,lost,0,0,0,0,0,0,43,0,2016-03-21 17:27:42.053,2016-03-21 17:27:42.053,2016-04-05 00:00:00.0,2016-05-04 11:15:41.643,0.0000,GHD,0,0,0,false,44,0,0,none,0,0,
936775,11,lost,0,0,0,0,0,0,0,27,2016-03-21 16:00:47.977,2016-03-21 16:00:47.977,,2016-04-30 00:00:00.0,1000.0000,7gen Construction Upsell,0,0,0,false,40,0,0,none,0,2,Veeravalli
936545,7,won,0,0,9,11,15,0,0,0,2016-03-21 14:21:56.103,2016-03-21 14:21:56.103,2016-03-30 00:00:00.0,2016-05-02 00:00:00.0,4160.0000,Charles C Brandt Construction,0,0,0,false,42,0,14,Commit,0,3,Reyna
936117,7,won,0,0,0,0,0,0,0,0,2016-03-18 17:31:49.9,2016-03-18 17:31:49.9,2016-03-30 00:00:00.0,2016-04-21 00:00:00.0,7220.0000,Sherwood Design Engineers - Re-Sell (Past Client),0,0,0,false,34,0,-66,Commit,0,3,Hughes
935517,7,won,0,0,1,0,0,0,0,0,2016-03-17 13:45:46.017,2016-03-17 13:45:46.017,2016-03-22 00:00:00.0,2016-03-31 00:00:00.0,4840.0000,LCD Construction,0,0,0,false,14,0,7,none,0,3,Reyna
935230,7,won,0,0,0,0,0,0,0,0,2016-03-16 16:54:54.847,2016-03-16 16:54:54.847,2016-05-18 00:00:00.0,2016-05-28 00:00:00.0,1110.0000,Wilson Construction Upsell,3,0,1,false,73,0,56,Commit,0,1,Veeravalli
932940,9,lost,0,0,32,0,0,0,12,0,2016-03-10 00:00:00.0,2016-03-10 15:15:36.703,2016-03-10 00:00:00.0,2016-05-31 00:00:00.0,5800.0000,"J. Uno  and  Associates, Inc.",0,0,0,false,82,0,22,none,1-30,3,Reyna
932764,9,lost,0,0,0,0,0,0,40,0,2016-03-10 12:07:39.973,2016-03-10 12:07:39.973,2016-03-30 00:00:00.0,2016-04-29 00:00:00.0,3800.0000,Poma Construction,0,0,0,false,50,0,4,none,0,3,Reyna
932659,7,won,0,0,0,0,0,0,0,0,2016-03-10 09:50:59.537,2016-03-10 09:50:59.537,2016-03-30 00:00:00.0,2016-03-31 00:00:00.0,5700.0000,"Crimson Engineering Associates, Inc.",0,0,0,false,21,0,12,none,0,3,Reyna
931611,7,won,0,0,0,8,0,0,0,0,2016-03-08 00:00:00.0,2016-03-08 16:21:35.99,2016-03-08 00:00:00.0,2016-03-23 00:00:00.0,3380.0000,Buttcon Limited,0,0,0,false,15,0,9,none,0,3,Hughes
931296,7,won,0,2,0,0,0,0,0,0,2016-03-08 09:50:27.887,2016-03-08 09:50:27.887,2016-03-10 00:00:00.0,2016-05-27 00:00:00.0,3440.0000,Hernandez Construction,0,0,0,false,80,0,36,Commit,0,1,Hughes
930228,7,won,0,0,0,0,0,0,0,0,2016-03-04 14:31:45.6,2016-03-04 14:31:45.6,,2016-03-05 00:00:00.0,1880.0000,Metric Environmental - Shrewsberry spin out company,0,0,0,false,1,0,0,none,0,2,Cornish
929507,7,won,0,0,0,0,0,0,0,0,2016-03-03 10:55:55.637,2016-03-03 10:55:55.637,,2016-03-16 00:00:00.0,4860.0000,Duplantis Design Group Upsell,9,0,0,false,13,0,0,none,0,2,Veeravalli
928442,7,won,0,0,3,19,0,0,0,0,2016-03-01 11:07:09.463,2016-03-01 11:07:09.463,2016-03-30 00:00:00.0,2016-04-08 00:00:00.0,4195.0000,Ridgemont Commercial Construction,0,0,0,false,38,0,17,none,0,3,Reyna
928362,7,won,0,0,0,0,0,0,0,0,2016-03-01 10:06:38.097,2016-03-01 10:06:38.097,,2016-04-08 00:00:00.0,3600.0000,Hord Coplan Macht Upsell,5,0,0,false,38,0,0,none,0,1,Veeravalli
927868,7,won,0,0,0,0,2,0,0,0,2016-02-29 00:00:00.0,2016-02-29 11:06:29.777,2016-02-29 00:00:00.0,2016-04-07 00:00:00.0,4160.0000,Sky Blue Builders,0,0,0,false,38,0,2,none,0,3,Reyna
927788,7,won,0,0,4,0,0,0,0,0,2016-02-29 00:00:00.0,2016-02-29 09:27:13.977,2016-02-29 00:00:00.0,2016-03-18 00:00:00.0,7080.0000,"Plath & Company, Inc",0,0,0,false,18,0,9,none,1-30,3,Reyna
927779,7,won,0,0,0,0,0,0,0,0,2016-02-29 09:10:10.52,2016-02-29 09:10:10.52,2016-03-15 00:00:00.0,2016-03-11 00:00:00.0,4300.0000,H.C. Pody,0,0,0,false,11,0,0,none,0,3,Reyna
926396,7,won,0,0,5,0,13,0,0,0,2016-02-25 10:55:44.167,2016-02-25 10:55:44.167,2016-02-29 00:00:00.0,2016-03-16 00:00:00.0,3000.0000,New England Specialty Concrete,0,0,0,false,20,0,6,none,0,2,Reyna
926230,7,won,0,4,1,48,5,0,0,0,2016-02-24 17:39:31.687,2016-02-24 17:39:31.687,2016-02-26 00:00:00.0,2016-05-03 00:00:00.0,9425.0000,"Ragnar Benson Construction, LLC",0,0,0,false,69,0,15,Commit,0,1,Hughes
925806,7,won,0,0,0,0,0,0,0,0,2016-02-24 10:59:42.467,2016-02-24 10:59:42.467,,2016-04-19 00:00:00.0,600.0000,Chandos Construction Upsell,0,0,0,false,55,0,0,none,0,1,Hughes
925731,7,won,0,0,5,0,0,0,0,0,2016-02-24 10:37:48.45,2016-02-24 10:37:48.45,2016-04-29 00:00:00.0,2016-04-05 00:00:00.0,3400.0000,"PKF-Mark III, Inc.",0,0,0,false,41,0,5,none,0,2,Reyna
925615,7,won,0,0,0,0,0,0,0,0,2016-02-23 00:00:00.0,2016-02-23 19:18:06.567,2016-02-23 00:00:00.0,2016-03-07 00:00:00.0,7880.0000,Aerotech Mapping Inc.,0,0,0,false,13,0,0,none,0,2,Hughes
925483,7,won,0,0,7,0,42,0,0,0,2016-02-23 15:07:43.273,2016-02-23 15:07:43.273,2016-02-26 00:00:00.0,2016-04-20 00:00:00.0,5920.0000,Cleary Zimmermann Engineers,0,0,0,true,57,0,35,Commit,0,3,Hughes
925256,7,won,0,0,2,0,0,0,0,0,2016-02-23 00:00:00.0,2016-02-23 10:49:50.167,2016-02-23 00:00:00.0,2016-03-02 00:00:00.0,13400.0000,McCownGordon Construction,0,0,0,false,8,0,3,none,0,3,Reyna
924232,7,won,0,0,0,0,39,0,0,0,2016-02-19 12:40:33.603,2016-02-19 12:40:33.603,,2016-04-18 00:00:00.0,1500.0000,Jaster-Quintanilla (145) Deltek/Cosential Financial Data Connector [NEW 2016],0,0,0,false,59,0,0,none,0,1,Hughes
922513,7,won,0,0,0,0,0,0,0,0,2016-02-16 00:00:00.0,2016-02-16 13:20:31.59,2016-02-16 00:00:00.0,2016-03-30 00:00:00.0,28450.0000,CSI Electrical,0,0,0,false,43,0,0,none,0,3,Reyna
921891,7,won,0,0,6,0,0,0,0,0,2016-02-16 00:00:00.0,2016-02-16 11:32:05.19,2016-02-16 00:00:00.0,2016-04-18 00:00:00.0,10000.0000,Cardno ( Pilot),0,0,0,false,62,0,6,none,0,2,Reyna
920664,7,won,0,0,7,59,8,0,0,0,2016-02-11 00:00:00.0,2016-02-11 20:25:22.653,2016-02-11 00:00:00.0,2016-04-27 00:00:00.0,6660.0000,Raymond Engineering,0,0,0,false,76,0,8,Commit,0,3,Reyna
920492,7,won,0,0,0,75,0,0,0,0,2016-02-11 00:00:00.0,2016-02-11 14:42:33.867,2016-02-11 00:00:00.0,2016-05-26 00:00:00.0,27000.0000,SPEC service,0,0,0,false,105,0,6,Commit,0,3,Reyna
920053,7,won,0,0,6,2,0,0,0,0,2016-02-10 00:00:00.0,2016-02-10 16:32:22.68,2016-02-10 00:00:00.0,2016-04-08 00:00:00.0,9760.0000,"Armstrong Consultants, Inc.",0,0,0,false,58,0,9,none,31-100,3,Reyna
919327,11,lost,0,8,0,0,0,0,0,0,2016-02-09 12:18:37.07,2016-02-09 12:18:37.07,2016-02-17 00:00:00.0,2016-05-06 16:05:58.79,0.0000,Agbayani Construction Corporation,0,0,0,false,87,0,0,none,0,0,Reyna
918997,11,lost,0,0,0,0,0,0,0,17,2016-02-08 16:11:54.307,2016-02-08 16:11:54.307,,2016-02-29 00:00:00.0,1440.0000,NEFCO Upsell,2,0,0,false,21,0,0,none,0,0,Veeravalli
918989,11,lost,0,0,0,0,0,0,0,27,2016-02-08 16:06:50.52,2016-02-08 16:06:50.52,,2016-03-31 00:00:00.0,7920.0000,SD Deacon Upsell,11,0,0,false,52,0,0,none,0,0,Veeravalli
918655,7,won,0,0,0,0,0,0,0,0,2016-02-08 09:45:01.997,2016-02-08 09:45:01.997,,2016-04-19 00:00:00.0,14400.0000,Slack & Co Upsell,10,0,0,false,71,0,0,none,0,2,Veeravalli
918653,7,won,0,0,0,0,0,0,0,0,2016-02-08 09:42:36.633,2016-02-08 09:42:36.633,,2016-04-08 00:00:00.0,720.0000,Skiles Group Upsell,1,0,0,false,60,0,0,none,0,2,Veeravalli
918645,7,won,0,0,0,0,56,0,0,0,2016-02-08 09:35:45.173,2016-02-08 09:35:45.173,,2016-05-10 00:00:00.0,8940.0000,HMFH Architects Upsell,13,0,0,false,92,0,0,Commit,0,1,Veeravalli
918638,7,won,0,0,0,56,0,0,0,0,2016-02-08 09:32:25.257,2016-02-08 09:32:25.257,,2016-04-08 00:00:00.0,3600.0000,Haskell Upsell,8,0,0,false,60,0,0,none,0,1,Veeravalli
918016,9,lost,0,0,0,0,0,0,28,0,2016-02-05 13:01:31.313,2016-02-05 13:01:31.313,2016-02-08 00:00:00.0,2016-03-31 00:00:00.0,5000.0000,Naples Flooring Company,0,0,0,false,55,0,0,none,0,0,Hughes
917707,7,won,0,0,0,0,0,0,0,0,2016-02-04 15:59:12.34,2016-02-04 15:59:12.34,,2016-02-04 15:59:12.34,285.0000,Davenport Upsell,0,0,5,false,0,0,0,none,0,0,Veeravalli
917024,11,lost,0,0,0,0,0,0,0,6,2016-02-03 11:26:34.59,2016-02-03 11:26:34.59,,2016-03-31 00:00:00.0,720.0000,Weigand Construction Upsell,1,0,0,false,57,0,0,none,0,0,Veeravalli
917020,11,lost,0,0,0,0,0,0,0,9,2016-02-03 11:23:50.94,2016-02-03 11:23:50.94,,2016-03-31 00:00:00.0,1440.0000,Ulliman Schutte Upsell,2,0,0,false,57,0,0,none,0,0,Veeravalli
916995,11,lost,0,0,0,0,0,0,0,49,2016-02-03 11:01:29.56,2016-02-03 11:01:29.56,,2016-03-31 00:00:00.0,720.0000,Shook Construction Upsell,1,0,0,false,57,0,0,none,0,0,Veeravalli
916980,11,lost,0,0,0,0,0,0,0,40,2016-02-03 10:49:18.867,2016-02-03 10:49:18.867,,2016-03-31 00:00:00.0,2160.0000,Professional Environmental Engineers Upsell,3,0,0,false,57,0,0,none,0,0,Veeravalli
916964,7,won,0,0,0,4,0,0,0,0,2016-02-03 00:00:00.0,2016-02-03 10:30:45.737,2016-02-03 00:00:00.0,2016-02-22 00:00:00.0,3540.0000,"MB Contractors, Inc.",0,0,0,false,19,0,0,none,0,2,
916957,7,won,0,0,0,0,0,0,0,0,2016-02-03 10:21:45.9,2016-02-03 10:21:45.9,,2016-03-31 00:00:00.0,1440.0000,IMC Construction Upsell,1,0,0,false,57,0,0,none,0,0,Veeravalli
916942,7,won,0,0,1,3,0,0,0,0,2016-02-03 10:04:45.627,2016-02-03 10:04:45.627,2016-02-04 00:00:00.0,2016-03-29 00:00:00.0,10040.0000,Russell Standard Corp.,0,0,0,false,55,0,0,none,0,2,Hughes
916716,7,won,0,0,0,0,0,0,0,0,2016-02-02 15:07:23.43,2016-02-02 15:07:23.43,,2016-03-31 00:00:00.0,720.0000,Freese and Nichols Upsell,1,0,0,false,58,0,0,none,0,0,Veeravalli
916711,11,lost,0,0,0,0,0,0,0,49,2016-02-02 15:01:25.603,2016-02-02 15:01:25.603,,2016-03-31 00:00:00.0,2880.0000,CEI Architecture Upsell,4,0,0,false,58,0,0,none,0,0,Veeravalli
916587,7,won,0,0,0,0,0,0,0,0,2016-02-02 12:51:24.643,2016-02-02 12:51:24.643,,2016-03-29 00:00:00.0,1440.0000,"Bernardin, Lochmueller and Associates Upsell",2,0,0,false,56,0,0,none,0,0,Veeravalli
916579,11,lost,0,0,0,0,0,0,0,50,2016-02-02 12:44:26.76,2016-02-02 12:44:26.76,,2016-03-31 00:00:00.0,720.0000,Albert Kahn Upsell,1,0,0,false,58,0,0,none,0,0,Veeravalli
916570,7,won,0,0,0,0,0,0,0,0,2016-02-02 12:40:00.72,2016-02-02 12:40:00.72,,2016-03-31 00:00:00.0,720.0000,Joeris Upsell,1,0,0,false,58,0,0,none,0,0,Veeravalli
916171,7,won,0,0,0,0,0,0,0,0,2016-02-01 17:13:20.383,2016-02-01 17:13:20.383,,2016-01-31 00:00:00.0,180.0000,JB Henderson Upsell,1,0,0,false,-1,0,0,none,0,0,Veeravalli
915867,11,lost,0,0,0,0,0,0,0,0,2016-02-01 11:54:01.88,2016-02-01 11:54:01.88,,2016-03-31 00:00:00.0,6480.0000,Hunt Companies Upsell,9,0,0,false,59,0,0,none,0,0,Veeravalli
915855,7,won,0,0,2,32,0,0,0,0,2016-02-01 11:44:54.7,2016-02-01 11:44:54.7,2016-02-03 00:00:00.0,2016-03-31 00:00:00.0,23220.0000,MTech Mechanical,0,0,0,false,59,0,0,none,0,3,Hughes
915849,7,won,0,0,2,0,19,0,0,0,2016-02-01 00:00:00.0,2016-02-01 11:34:41.313,2016-02-01 00:00:00.0,2016-02-29 00:00:00.0,3960.0000,MGAC,0,0,0,false,28,0,0,none,0,1,Hughes
915800,7,won,0,0,0,0,0,0,0,0,2016-02-01 10:51:21.363,2016-02-01 10:51:21.363,2016-02-03 00:00:00.0,2016-03-02 00:00:00.0,13500.0000,B&I Contractors,0,0,0,false,30,0,0,none,101-300,2,Hughes
915142,7,won,0,0,0,0,0,0,0,0,2016-01-28 17:45:49.657,2016-01-28 17:45:49.657,,2016-03-31 00:00:00.0,720.0000,Rider Levett Bucknall Upsell,1,0,0,false,63,0,0,none,0,1,Veeravalli
915110,9,lost,0,32,6,0,0,0,0,0,2016-01-28 17:09:15.873,2016-01-28 17:09:15.873,2016-02-03 00:00:00.0,2016-03-31 00:00:00.0,5000.0000,Lear Construction Management Limited,0,0,0,false,63,0,0,none,0,0,
914319,7,won,0,0,0,0,0,0,0,0,2016-01-27 10:45:32.693,2016-01-27 10:45:32.693,,2016-02-26 00:00:00.0,15120.0000,Helix Electric Upsell,21,0,0,false,30,0,0,none,0,3,Veeravalli
914255,7,won,0,0,13,0,85,0,0,0,2016-01-27 09:35:28.617,2016-01-27 09:35:28.617,2016-01-31 00:00:00.0,2016-05-31 00:00:00.0,3000.0000,Steele & Freeman,1,2,0,false,125,0,28,Commit,0,3,Reyna
913908,7,won,0,0,0,0,0,0,0,0,2016-01-26 11:22:04.353,2016-01-26 11:22:04.353,2016-03-31 00:00:00.0,2016-02-24 00:00:00.0,550.0000,Ivey Mechanical Upsell,1,0,0,false,29,0,0,none,0,2,Veeravalli
913650,7,won,0,0,0,0,41,0,0,0,2016-01-25 16:51:28.873,2016-01-25 16:51:28.873,2016-03-31 00:00:00.0,2016-04-06 00:00:00.0,4250.0000,Outside The Lines,0,0,0,false,72,0,0,none,0,3,Hughes
912501,7,won,0,0,0,45,0,0,0,0,2016-01-21 12:14:17.167,2016-01-21 12:14:17.167,2016-01-31 00:00:00.0,2016-04-20 00:00:00.0,8160.0000,"Roeslein & Associates, Inc.",0,0,0,false,90,0,-8,Commit,0,3,Hughes
912281,7,won,0,0,0,18,13,0,0,0,2016-01-20 17:26:44.017,2016-01-20 17:26:44.017,2016-01-31 00:00:00.0,2016-02-29 00:00:00.0,6220.0000,AKS Engineering,0,0,0,false,40,0,0,none,0,1,Hughes
911763,7,won,0,0,0,0,0,0,0,0,2016-01-19 18:19:31.023,2016-01-19 18:19:31.023,,2016-01-19 00:00:00.0,15000.0000,Initial Implementation A&P,0,0,0,false,0,0,0,none,1001+,3,Cornish
911376,7,won,0,0,0,0,0,0,0,0,2016-01-19 10:46:11.95,2016-01-19 10:46:11.95,,2016-02-23 00:00:00.0,2880.0000,Paul J. Ford & Company - Structural Engineers Upsell,4,0,0,false,35,0,0,none,0,1,Veeravalli
911368,7,won,0,0,0,0,0,0,0,0,2016-01-19 10:40:12.09,2016-01-19 10:40:12.09,,2016-02-09 00:00:00.0,2940.0000,"VMDO Architects, P.C. Upsell",0,0,0,false,21,0,0,none,0,1,Veeravalli
910839,7,won,0,0,0,0,0,0,0,0,2016-01-18 10:52:13.98,2016-01-18 10:52:13.98,,2016-02-09 00:00:00.0,1440.0000,"Gray & Pape, Inc. Upsell",2,0,0,false,22,0,0,none,0,1,Veeravalli
910343,7,won,0,0,0,0,24,0,0,0,2016-01-15 11:27:58.74,2016-01-15 11:27:58.74,2016-01-31 00:00:00.0,2016-03-28 00:00:00.0,6380.0000,BBL Campus Facilities,0,0,0,false,73,0,10,none,0,2,Reyna
909220,9,lost,0,0,0,0,0,0,28,0,2016-01-13 10:43:19.91,2016-01-13 10:43:19.91,2016-01-31 00:00:00.0,2016-02-29 00:00:00.0,5000.0000,Oz Directional Drilling,0,0,0,false,47,0,0,none,0,0,Reyna
907706,7,won,0,0,0,0,0,0,0,0,2016-01-08 13:07:41.277,2016-01-08 13:07:41.277,2016-01-31 00:00:00.0,2016-01-31 00:00:00.0,3160.0000,Glumac,0,0,0,false,23,0,0,none,0,1,Hughes
906824,7,won,0,0,7,0,0,0,0,0,2016-01-07 16:03:16.36,2016-01-07 16:03:16.36,2016-01-31 00:00:00.0,2016-02-26 00:00:00.0,6260.0000,Meyer Najem Construction,0,0,0,false,50,0,0,none,0,3,Hughes
